smile,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,NiO2,ethanol,toluene,IPA,THF,chlorobenzene,2-Methoxyethanol,CH2CL2,concentration(mg/ml),wash,E,Cs,FA,MA,Pb,Sn,I,Br,CL,C60,BCP,PC60BM,PCBM,PC61BM,PEAI,ALD-SnO2,PCE
OP(CCN1C2=C(C=CC=C2)C3=C1C=CC=C3)(O)=O,2.219,734.341,13.458,10.23,11.125,9.061,6.067,7.865,4.574,6.351,3.295,4.077,2.474,2.935,7.596,4.565,0,6.162,6.545,21.806,0,0,53.098,0,9.787,275.071,0.143,-1.61,19,261.132,28995.323,12.425,4.494,2.303,109.995,11.08,0.34,11.08,0.327,0.143,0.327,-3.984,-0.34,2.972,76.355,275.244,2,4,0,0,0,2,1,3,2,2,5,0,3,0,0,0,98,14.354,0,0,0,0,7.596,4.565,0,0,0,36.398,12.133,28.351,6.162,3,14.352,29.402,0,4.567,0,6.545,6.162,48.531,0,0,0,0,0,7.596,20.516,11.11,0,0,48.531,0,21.806,0,62.46,0,0,0,0,0,0,0,0,13.056,34.417,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0,0.49,0.1,0.6,0.3,0.5,0.5,1,0,0,1,1,0,0,0,0,0,20.1
OP(CCN1C2=C(C=CC=C2)C3=C1C=CC=C3)(O)=O,2.219,734.341,13.458,10.23,11.125,9.061,6.067,7.865,4.574,6.351,3.295,4.077,2.474,2.935,7.596,4.565,0,6.162,6.545,21.806,0,0,53.098,0,9.787,275.071,0.143,-1.61,19,261.132,28995.323,12.425,4.494,2.303,109.995,11.08,0.34,11.08,0.327,0.143,0.327,-3.984,-0.34,2.972,76.355,275.244,2,4,0,0,0,2,1,3,2,2,5,0,3,0,0,0,98,14.354,0,0,0,0,7.596,4.565,0,0,0,36.398,12.133,28.351,6.162,3,14.352,29.402,0,4.567,0,6.545,6.162,48.531,0,0,0,0,0,7.596,20.516,11.11,0,0,48.531,0,21.806,0,62.46,0,0,0,0,0,0,0,0,13.056,34.417,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0,0.49,0.1,0.6,0.3,0.5,0.5,1,0,0,1,1,0,0,0,0,0,20.9
OP(CCN1C2=C(C=CC=C2)C3=C1C=CC=C3)(O)=O,2.219,734.341,13.458,10.23,11.125,9.061,6.067,7.865,4.574,6.351,3.295,4.077,2.474,2.935,7.596,4.565,0,6.162,6.545,21.806,0,0,53.098,0,9.787,275.071,0.143,-1.61,19,261.132,28995.323,12.425,4.494,2.303,109.995,11.08,0.34,11.08,0.327,0.143,0.327,-3.984,-0.34,2.972,76.355,275.244,2,4,0,0,0,2,1,3,2,2,5,0,3,0,0,0,98,14.354,0,0,0,0,7.596,4.565,0,0,0,36.398,12.133,28.351,6.162,3,14.352,29.402,0,4.567,0,6.545,6.162,48.531,0,0,0,0,0,7.596,20.516,11.11,0,0,48.531,0,21.806,0,62.46,0,0,0,0,0,0,0,0,13.056,34.417,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0.49,0.1,0.6,0.3,0.5,0.5,1,0,0,1,1,0,0,0,0,0,20.8
OP(CCN1C2=C(C=CC=C2)C3=C1C=CC=C3)(O)=O,2.219,734.341,13.458,10.23,11.125,9.061,6.067,7.865,4.574,6.351,3.295,4.077,2.474,2.935,7.596,4.565,0,6.162,6.545,21.806,0,0,53.098,0,9.787,275.071,0.143,-1.61,19,261.132,28995.323,12.425,4.494,2.303,109.995,11.08,0.34,11.08,0.327,0.143,0.327,-3.984,-0.34,2.972,76.355,275.244,2,4,0,0,0,2,1,3,2,2,5,0,3,0,0,0,98,14.354,0,0,0,0,7.596,4.565,0,0,0,36.398,12.133,28.351,6.162,3,14.352,29.402,0,4.567,0,6.545,6.162,48.531,0,0,0,0,0,7.596,20.516,11.11,0,0,48.531,0,21.806,0,62.46,0,0,0,0,0,0,0,0,13.056,34.417,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7,0,0.49,0.1,0.6,0.3,0.5,0.5,1,0,0,1,1,0,0,0,0,0,20
OC(CCN1C2=C(C=CC=C2)C3=C1C=CC=C3)=O,2.273,674.271,12.535,9.836,9.836,8.771,5.949,5.949,4.33,4.33,3.229,3.229,2.452,2.452,5.969,4.795,0,6.421,6.545,11.033,10.772,0,36.398,16.7,5.107,239.095,0.133,-2.29,18,226.17,22757.752,10.838,4.183,1.643,104.264,10.753,0.481,10.753,0.305,0.142,0.305,-0.767,-0.481,3.269,71.697,239.274,1,3,0,0,0,2,1,3,2,1,3,0,3,0,0,0,90,9.674,0,0,0,0,5.969,4.795,0,0,0,36.398,12.133,28.351,6.421,3,9.901,27.775,0,4.567,0,12.966,0,48.531,0,0,0,0,0,0,15.643,11.339,0,6.421,48.531,0,21.806,0,42.23,0,0,0,0,0,0,0,0,2.082,40.251,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0,0.18,0.1,0.6,0.3,0.5,0.5,1,0,0,1,1,0,0,0,0,0,21.2
OC(CCN1C2=C(C=CC=C2)C3=C1C=CC=C3)=O,2.273,674.271,12.535,9.836,9.836,8.771,5.949,5.949,4.33,4.33,3.229,3.229,2.452,2.452,5.969,4.795,0,6.421,6.545,11.033,10.772,0,36.398,16.7,5.107,239.095,0.133,-2.29,18,226.17,22757.752,10.838,4.183,1.643,104.264,10.753,0.481,10.753,0.305,0.142,0.305,-0.767,-0.481,3.269,71.697,239.274,1,3,0,0,0,2,1,3,2,1,3,0,3,0,0,0,90,9.674,0,0,0,0,5.969,4.795,0,0,0,36.398,12.133,28.351,6.421,3,9.901,27.775,0,4.567,0,12.966,0,48.531,0,0,0,0,0,0,15.643,11.339,0,6.421,48.531,0,21.806,0,42.23,0,0,0,0,0,0,0,0,2.082,40.251,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0,0.18,0.1,0.6,0.3,0.5,0.5,1,0,0,1,1,0,0,0,0,0,22.1
OC(CCN1C2=C(C=CC=C2)C3=C1C=CC=C3)=O,2.273,674.271,12.535,9.836,9.836,8.771,5.949,5.949,4.33,4.33,3.229,3.229,2.452,2.452,5.969,4.795,0,6.421,6.545,11.033,10.772,0,36.398,16.7,5.107,239.095,0.133,-2.29,18,226.17,22757.752,10.838,4.183,1.643,104.264,10.753,0.481,10.753,0.305,0.142,0.305,-0.767,-0.481,3.269,71.697,239.274,1,3,0,0,0,2,1,3,2,1,3,0,3,0,0,0,90,9.674,0,0,0,0,5.969,4.795,0,0,0,36.398,12.133,28.351,6.421,3,9.901,27.775,0,4.567,0,12.966,0,48.531,0,0,0,0,0,0,15.643,11.339,0,6.421,48.531,0,21.806,0,42.23,0,0,0,0,0,0,0,0,2.082,40.251,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0.18,0.1,0.6,0.3,0.5,0.5,1,0,0,1,1,0,0,0,0,0,21.9
OC(CCN1C2=C(C=CC=C2)C3=C1C=CC=C3)=O,2.273,674.271,12.535,9.836,9.836,8.771,5.949,5.949,4.33,4.33,3.229,3.229,2.452,2.452,5.969,4.795,0,6.421,6.545,11.033,10.772,0,36.398,16.7,5.107,239.095,0.133,-2.29,18,226.17,22757.752,10.838,4.183,1.643,104.264,10.753,0.481,10.753,0.305,0.142,0.305,-0.767,-0.481,3.269,71.697,239.274,1,3,0,0,0,2,1,3,2,1,3,0,3,0,0,0,90,9.674,0,0,0,0,5.969,4.795,0,0,0,36.398,12.133,28.351,6.421,3,9.901,27.775,0,4.567,0,12.966,0,48.531,0,0,0,0,0,0,15.643,11.339,0,6.421,48.531,0,21.806,0,42.23,0,0,0,0,0,0,0,0,2.082,40.251,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7,0,0.18,0.1,0.6,0.3,0.5,0.5,1,0,0,1,1,0,0,0,0,0,21.8
OC(CN1C2=C(C=CC=C2)C3=C1C=CC=C3)=O,2.453,659.142,11.828,9.129,9.129,8.271,5.449,5.449,4.014,4.014,2.973,2.973,2.309,2.309,5.969,4.795,0,6.545,0,21.806,0,0,53.098,0,5.107,225.079,0.071,-2.29,17,214.159,13601.201,9.902,3.627,1.474,97.9,10.933,0.48,10.933,0.323,0.006,0.323,-0.823,-0.48,2.879,67.08,225.247,1,3,0,0,0,2,1,3,2,1,3,0,2,0,0,0,84,9.674,6.545,0,0,0,5.969,4.795,0,0,0,36.398,12.133,21.806,0,3,9.901,27.775,0,4.567,0,6.545,0,48.531,0,0,0,0,0,0,15.643,11.339,0,0,48.531,0,21.806,0,42.23,0,0,0,0,0,0,0,0,1.84,38.993,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0,0.02,0.1,0.6,0.3,0.5,0.5,1,0,0,1,1,0,0,0,0,0,22.1
OC(CN1C2=C(C=CC=C2)C3=C1C=CC=C3)=O,2.453,659.142,11.828,9.129,9.129,8.271,5.449,5.449,4.014,4.014,2.973,2.973,2.309,2.309,5.969,4.795,0,6.545,0,21.806,0,0,53.098,0,5.107,225.079,0.071,-2.29,17,214.159,13601.201,9.902,3.627,1.474,97.9,10.933,0.48,10.933,0.323,0.006,0.323,-0.823,-0.48,2.879,67.08,225.247,1,3,0,0,0,2,1,3,2,1,3,0,2,0,0,0,84,9.674,6.545,0,0,0,5.969,4.795,0,0,0,36.398,12.133,21.806,0,3,9.901,27.775,0,4.567,0,6.545,0,48.531,0,0,0,0,0,0,15.643,11.339,0,0,48.531,0,21.806,0,42.23,0,0,0,0,0,0,0,0,1.84,38.993,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0,0.02,0.1,0.6,0.3,0.5,0.5,1,0,0,1,1,0,0,0,0,0,23.1
